City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Average Temperature (c),Total Precipitation (mm)
Douro,44.3834,-78.1995,61,7,4.67,CA,8.15,889.5000000000001
Michigan,44.2503,-85.5003,48,40,6.17,US,8.718181818181819,751.0
Alsace,48.5,7.5,88,0,1.54,FR,12.983333333333333,535.4
California,38.3004,-76.5074,60,40,7.72,US,15.381818181818181,780.2
Mosel,50.7833,12.4667,76,100,2.79,DE,10.633333333333333,753.8000000000001
Mendoza Province,-34.5,-68.5,23,21,2.55,AR,16.658333333333335,337.5
Virginia,37.5481,-77.4467,59,40,5.14,US,16.175,1105.1
Beaujolais,29.7858,-90.7681,95,100,4.35,US,22.07272727272727,1172.3999999999999
Bordeaux,44.8404,-0.5805,61,0,4.12,FR,15.133333333333331,1111.4
Washington,47.5001,-120.5015,36,41,4.65,US,11.872727272727273,237.6
Champagne,48.0219,0.331,94,100,0.0,FR,14.118181818181819,694.8000000000001
Tuscany,43.4167,11.0,73,8,1.02,IT,15.909090909090912,0.0
Burgenland,47.5,16.4167,81,76,1.56,AT,12.309090909090912,710.4000000000001
New York,40.7143,-74.006,56,75,7.2,US,14.458333333333334,1327.5
Piedmont,37.8244,-122.2316,32,20,7.2,US,13.950000000000001,581.0
Stellenbosch,-33.9346,18.8668,87,23,4.12,ZA,17.041666666666668,813.5999999999999
Veneto,45.5,11.75,73,10,1.19,IT,14.658333333333333,898.3
Western Cape,-34.0,20.0,68,2,3.3,ZA,17.48333333333333,711.5999999999999
Galilee,41.7351,-75.1396,54,11,3.22,US,10.254545454545456,1194.8000000000002
Santorini,36.3996,25.4208,44,0,2.06,GR,20.299999999999997,162.4
Recas,45.7989,21.5008,75,0,2.57,RO,12.700000000000001,717.0
Provence,46.8905,6.7261,82,100,1.54,CH,8.758333333333335,1323.3999999999999
Victoria,22.2855,114.1577,85,93,5.36,HK,24.924999999999997,1826.3999999999999
Central Valley,41.3318,-74.121,56,0,6.69,US,12.390909090909092,1378.4
Niederösterreich,48.3333,15.75,81,100,1.51,AT,11.950000000000001,612.3
Wagram,47.0333,15.4333,62,8,2.57,AT,11.136363636363635,1061.3999999999999
Lombardy,45.6667,9.5,72,0,2.57,IT,15.109090909090911,1467.0
Ontario,34.0633,-117.6509,55,75,4.12,US,18.236363636363638,762.8
Steiermark,47.25,15.1667,81,42,1.43,AT,9.618181818181817,1054.8
Crete,35.1558,24.895,38,0,2.6,GR,20.03636363636364,331.8
Idaho,44.5002,-114.2512,66,100,3.6,US,6.781818181818181,283.2
Lisboa,38.7167,-9.1333,80,75,12.52,PT,18.13333333333333,423.9000000000001
Texas,31.2504,-99.2506,40,40,7.72,US,20.390909090909094,778.1
Tasmania,-42.0,147.0,93,23,1.49,AU,6.933333333333333,628.1
Franken,50.5,7.2333,90,49,1.21,DE,12.158333333333333,715.2
Nahe,53.8,10.1333,61,6,1.83,DE,10.249999999999998,1039.1
Dealu Mare,47.9243,26.4141,79,62,1.79,RO,12.008333333333335,494.99999999999994
Darling,-33.3782,18.3794,90,67,4.3,ZA,17.183333333333334,543.6999999999999
Chile,-30.0,-71.0,63,0,2.16,CL,14.890909090909089,21.0
Robertson,36.5167,-86.8667,59,0,3.6,US,16.09090909090909,942.4
Wachau,51.1667,13.9,78,0,1.54,DE,11.200000000000001,740.4
Pennsylvania,40.2724,-76.9057,48,0,3.09,US,14.416666666666664,862.1999999999999
Rio Claro,-22.4114,-47.5614,35,100,1.48,BR,22.183333333333334,1322.2000000000003
Villány,45.8689,18.4539,70,8,0.69,HU,13.581818181818182,717.8
Jidvei,46.2167,24.1,87,0,0.47,RO,11.718181818181819,628.4000000000001
America,27.5188,-110.0592,27,0,7.97,MX,25.70833333333334,171.60000000000002
New Jersey,40.1671,-74.4999,53,75,5.66,US,14.100000000000001,1254.9999999999998
Epanomi,40.4264,22.9286,50,20,1.03,GR,16.96666666666667,541.3000000000001
Peloponnese,37.6273,22.4396,55,37,1.26,GR,14.418181818181818,580.0
Moravia,42.7126,-76.4216,56,3,2.68,US,9.427272727272726,1108.8
Slovenia,46.25,15.1667,72,5,1.44,SI,11.954545454545455,1072.9
Panciu,45.9,27.0833,67,39,3.18,RO,13.118181818181819,482.49999999999994
Romania,46.0,25.0,82,0,0.33,RO,10.781818181818183,752.5999999999999
Missouri,38.2503,-92.5005,30,0,5.14,US,15.245454545454548,894.9999999999999
