region,region_id,lat,lng,temp,prcp
Douro,108,44.3834,-78.1995,8.15,889.5000000000001
Michigan,216,44.2503,-85.5003,8.718181818181819,751.0
Alsace,11,48.5,7.5,12.983333333333333,535.4
California,51,38.3004,-76.5074,15.38181818181818,780.2
Mosel,230,50.7833,12.4667,10.633333333333333,753.8000000000001
Mendoza Province,214,-34.5,-68.5,16.658333333333335,337.5
Virginia,395,37.5481,-77.4467,16.175,1105.1
Beaujolais,29,29.7858,-90.7681,22.07272727272727,1172.4
Bordeaux,37,44.8404,-0.5805,15.133333333333333,1111.4
Washington,408,47.5001,-120.5015,11.872727272727271,237.6
Champagne,74,48.0219,0.331,14.11818181818182,694.8000000000001
Tuscany,371,43.4167,11.0,15.909090909090912,0.0
Burgenland,47,47.5,16.4167,12.309090909090912,710.4000000000001
New York,253,40.7143,-74.006,14.458333333333334,1327.5
Piedmont,284,37.8244,-122.2316,13.95,581.0
Stellenbosch,346,-33.9346,18.8668,17.041666666666668,813.5999999999999
Veneto,381,45.5,11.75,14.658333333333331,898.3
Western Cape,414,-34.0,20.0,17.48333333333333,711.5999999999999
Galilee,132,41.7351,-75.1396,10.254545454545456,1194.8000000000002
Santorini,322,36.3996,25.4208,20.3,162.4
Recas,300,45.7989,21.5008,12.7,717.0
Provence,296,46.8905,6.7261,8.758333333333335,1323.4
Victoria,383,22.2855,114.1577,24.925,1826.4
Central Valley,71,41.3318,-74.121,12.390909090909092,1378.4
Wagram,399,47.0333,15.4333,11.136363636363637,1061.4
Lombardy,195,45.6667,9.5,15.109090909090911,1467.0
Ontario,265,34.0633,-117.6509,18.23636363636364,762.8
Steiermark,345,47.25,15.1667,9.618181818181816,1054.8
Crete,90,35.1558,24.895,20.03636363636364,331.8
Idaho,153,44.5002,-114.2512,6.781818181818181,283.2
Lisboa,192,38.7167,-9.1333,18.13333333333333,423.9000000000001
Texas,357,31.2504,-99.2506,20.39090909090909,778.1
Tasmania,353,-42.0,147.0,6.933333333333333,628.1
Franken,127,50.5,7.2333,12.158333333333331,715.2
Nahe,240,53.8,10.1333,10.249999999999998,1039.1
Dealu Mare,101,47.9243,26.4141,12.008333333333336,495.0
Darling,100,-33.3782,18.3794,17.183333333333334,543.6999999999999
Chile,75,-30.0,-71.0,14.890909090909089,21.0
Robertson,310,36.5167,-86.8667,16.09090909090909,942.4
Wachau,398,51.1667,13.9,11.2,740.4
Pennsylvania,280,40.2724,-76.9057,14.416666666666664,862.1999999999999
Rio Claro,309,-22.4114,-47.5614,22.183333333333334,1322.2000000000005
Jidvei,163,46.2167,24.1,11.71818181818182,628.4000000000001
America,12,27.5188,-110.0592,25.70833333333334,171.60000000000002
New Jersey,250,40.1671,-74.4999,14.1,1254.9999999999998
Epanomi,123,40.4264,22.9286,16.96666666666667,541.3000000000001
Peloponnese,278,37.6273,22.4396,14.418181818181818,580.0
Moravia,226,42.7126,-76.4216,9.427272727272726,1108.8
Slovenia,335,46.25,15.1667,11.954545454545457,1072.9
Panciu,274,45.9,27.0833,13.11818181818182,482.5
Romania,311,46.0,25.0,10.781818181818185,752.5999999999999
Missouri,219,38.2503,-92.5005,15.245454545454548,894.9999999999999
Bucelas,44,38.9019,-9.1189,17.60833333333333,408.3
San Antonio,315,29.4241,-98.4936,22.23333333333333,869.1
Canterbury,55,51.279,1.0799,11.708333333333336,665.9000000000001
Baden,27,47.9974,16.233,12.627272727272729,720.4
Istria,159,44.5667,28.7167,14.581818181818182,484.7000000000001
Canelones,54,-34.6444,-56.2886,17.258333333333333,838.8
England,122,34.5443,-91.969,19.27272727272728,956.6
Durbanville,110,-33.8403,18.6494,16.45,775.5
Lebanon,182,36.2081,-86.2911,16.563636363636363,920.7000000000002
Setubal,329,38.5244,-8.8882,17.658333333333335,380.1
Colorado,84,-22.8375,-51.9731,23.891666666666666,1278.7
Puente Alto,297,-33.6167,-70.5833,14.518181818181818,471.8
Kumeu,177,-36.7667,174.5667,15.08333333333333,1717.2
