City,Lat,Lng,Avg_Temp_2023,Total_Prcp_2023
Douro,44.3834,-78.1995,8.15,889.5000000000001
Oregon,44.0001,-120.5014,,
Michigan,44.2503,-85.5003,8.718181818181819,751.0
Alsace,48.5,7.5,12.983333333333333,535.4
California,38.3004,-76.5074,15.381818181818181,780.2
Mosel,50.7833,12.4667,10.633333333333333,753.8000000000001
Mendoza Province,-34.5,-68.5,16.658333333333335,337.5
Virginia,37.5481,-77.4467,16.175,1105.1
Beaujolais,29.7858,-90.7681,22.07272727272727,1172.3999999999999
Bordeaux,44.8404,-0.5805,15.133333333333331,1111.4
Washington,47.5001,-120.5015,11.872727272727273,237.6
Champagne,48.0219,0.331,14.118181818181819,694.8000000000001
South Australia,-30.0,135.0,,
Tejo,-7.5693,112.309,,
Galicia,42.7551,-7.8662,,
Tuscany,43.4167,11.0,15.909090909090912,0.0
Burgenland,47.5,16.4167,12.309090909090912,710.4000000000001
New York,40.7143,-74.006,14.458333333333334,1327.5
Piedmont,37.8244,-122.2316,13.950000000000001,581.0
Stellenbosch,-33.9346,18.8668,17.041666666666668,813.5999999999999
Marlborough,-41.6667,173.5,,
Veneto,45.5,11.75,14.658333333333333,898.3
Western Cape,-34.0,20.0,17.48333333333333,711.5999999999999
Alentejo,40.3134,-7.8014,,
Galilee,41.7351,-75.1396,10.254545454545456,1194.8000000000002
Tokaj,48.1167,21.4167,,
Santorini,36.3996,25.4208,20.299999999999997,162.4
Catalonia,41.8205,1.8677,,
Recas,45.7989,21.5008,12.700000000000001,717.0
Hawke's Bay,-39.6667,176.5,,
Languedoc-Roussillon,43.6667,3.1667,,
Provence,46.8905,6.7261,8.758333333333335,1323.3999999999999
Victoria,22.2855,114.1577,24.924999999999997,1826.3999999999999
Naoussa,40.6307,22.0698,,
Valle de Guadalupe,21.0,-102.6167,,
Central Valley,41.3318,-74.121,12.390909090909092,1378.4
Niederösterreich,48.3333,15.75,11.950000000000001,612.3
Wagram,47.0333,15.4333,11.136363636363635,1061.3999999999999
Lombardy,45.6667,9.5,15.109090909090911,1467.0
Ontario,34.0633,-117.6509,18.236363636363638,762.8
Steiermark,47.25,15.1667,9.618181818181817,1054.8
Crete,35.1558,24.895,20.03636363636364,331.8
Idaho,44.5002,-114.2512,6.781818181818181,283.2
Western Australia,-25.0,122.0,,
Lisboa,38.7167,-9.1333,18.13333333333333,423.9000000000001
Texas,31.2504,-99.2506,20.390909090909094,778.1
Tasmania,-42.0,147.0,6.933333333333333,628.1
Franken,50.5,7.2333,12.158333333333333,715.2
