wine_id,region_id,price,score
82440,108,15,87
82837,266,14,87
93497,216,13,87
95364,266,65,87
96092,260,15,87
98064,331,16,87
100756,11,24,87
49561,304,12,87
53990,11,27,87
57059,51,19,87
61426,11,30,87
63546,51,34,87
70290,51,12,87
84509,230,24,87
41064,267,30,87
45489,214,13,87
80229,260,28,87
82590,395,32,87
82591,395,23,87
724,266,20,87
6188,331,19,87
8846,51,22,87
15031,331,35,87
17714,51,69,87
94143,331,13,87
94145,331,10,87
98059,331,17,87
25964,51,16,86
39197,51,50,86
39199,51,20,86
39378,266,50,86
39736,83,15,86
41530,331,21,86
41653,341,11,86
41762,331,12,86
41724,331,17,86
49268,266,22,86
49890,29,9,86
85151,51,14,86
95188,211,9,86
96282,395,40,86
96416,331,13,86
98792,51,13,86
101157,395,16,86
104484,29,14,86
16665,83,22,85
15595,331,14,85
24808,37,15,85
86953,51,30,85
92937,51,14,85
96415,331,13,85
100679,201,13,85
68767,408,55,86
74590,51,100,86
79545,68,17,86
82857,408,25,86
86080,74,58,86
90545,51,26,86
91637,48,24,86
104589,48,15,86
7309,408,46,86
26759,51,12,86
27086,74,55,86
36986,408,12,86
38058,51,40,86
48002,341,32,86
50776,51,75,86
50775,51,55,86
72023,51,75,86
89467,304,9,86
109589,339,18,86
109872,266,25,86
4496,298,12,86
93348,130,16,86
62252,126,11,86
70398,339,20,86
72564,51,24,86
75405,304,10,86
75771,408,20,86
76628,51,55,86
79640,371,29,86
40836,371,19,88
41330,51,23,88
42993,51,18,88
43950,51,55,88
44683,47,12,88
47766,408,22,88
49905,29,20,88
49907,29,18,88
50457,253,20,88
90319,371,30,88
92762,51,75,88
103209,253,18,88
59892,253,20,87
59897,253,20,87
61962,188,18,87
64919,371,16,87
65846,371,14,87
65902,371,30,87
65904,371,18,87
66994,51,26,87
75056,371,30,87
76251,29,23,87
78475,51,85,87
79466,371,15,87
79800,371,19,87
81098,51,18,87
81102,51,18,87
82664,51,25,87
84563,51,44,87
96872,371,80,87
36241,11,80,92
19160,284,70,92
67876,51,36,92
68016,51,39,92
49925,339,40,92
91496,51,45,92
61015,346,45,91
78796,11,48,91
78797,11,13,91
57815,11,17,91
14571,346,25,91
19159,284,70,91
36249,11,20,91
31379,333,30,91
79581,284,68,91
25959,51,78,91
46021,284,60,91
60353,37,50,91
36247,11,10,90
57808,11,112,90
79566,284,26,90
46023,284,45,90
6596,51,17,90
34424,11,84,90
97656,51,85,91
98359,51,64,91
105369,51,68,91
105370,51,68,91
107030,304,16,91
109328,51,35,91
109643,51,25,91
49995,7,30,91
1575,51,55,91
2447,51,46,91
66606,70,50,91
8943,51,36,91
15884,230,14,91
16572,7,26,91
17802,371,38,91
23977,342,35,91
20786,51,35,91
25919,51,28,91
27947,2,29,91
28045,201,32,91
32265,342,25,91
36841,51,28,91
37212,51,95,91
37652,51,44,91
44600,230,30,91
44608,230,22,91
44893,196,20,91
60761,266,38,91
94677,208,19,88
96975,258,25,88
97725,201,50,88
52620,371,22,88
56450,51,25,88
58497,48,27,88
65656,51,23,88
68504,51,36,88
1534,267,12,88
3044,51,35,88
4062,83,15,88
49113,51,40,88
465,331,48,88
103539,83,11,88
38869,62,11,87
40658,341,26,87
49926,339,30,87
1748,381,20,87
8671,48,35,87
16181,371,35,87
19219,371,18,87
93203,414,23,90
90273,51,60,90
91225,51,28,90
97527,258,62,90
109677,166,50,90
841,8,28,90
52903,51,30,90
52913,51,25,90
28923,51,25,90
31253,51,32,90
31319,78,40,90
34181,305,16,90
38350,414,20,90
40513,305,32,90
67752,260,40,90
64584,51,48,90
71837,51,36,90
74944,132,80,90
79541,371,57,90
81898,30,20,90
85320,51,20,90
87633,365,36,90
91902,51,40,90
93530,258,40,90
68858,214,22,90
74620,346,25,90
74621,346,20,90
106343,253,15,85
100552,253,14,85
8071,51,18,85
9584,253,16,85
3253,214,10,85
