wine_id,region_id,price,score
82440,108,15,87
93497,216,13,87
100756,11,24,87
53990,11,27,87
57059,51,19,87
61426,11,30,87
63546,51,34,87
70290,51,12,87
84509,230,24,87
45489,214,13,87
82590,395,32,87
82591,395,23,87
8846,51,22,87
17714,51,69,87
25964,51,16,86
39197,51,50,86
39199,51,20,86
49890,29,9,86
85151,51,14,86
96282,395,40,86
98792,51,13,86
101157,395,16,86
104484,29,14,86
24808,37,15,85
86953,51,30,85
92937,51,14,85
68767,408,55,86
74590,51,100,86
82857,408,25,86
86080,74,58,86
90545,51,26,86
7309,408,46,86
26759,51,12,86
27086,74,55,86
36986,408,12,86
38058,51,40,86
50776,51,75,86
50775,51,55,86
72023,51,75,86
72564,51,24,86
75771,408,20,86
76628,51,55,86
79640,371,29,86
40836,371,19,88
41330,51,23,88
42993,51,18,88
43950,51,55,88
44683,47,12,88
47766,408,22,88
49905,29,20,88
49907,29,18,88
50457,253,20,88
90319,371,30,88
92762,51,75,88
103209,253,18,88
59892,253,20,87
59897,253,20,87
64919,371,16,87
65846,371,14,87
65902,371,30,87
65904,371,18,87
66994,51,26,87
75056,371,30,87
76251,29,23,87
78475,51,85,87
79466,371,15,87
79800,371,19,87
81098,51,18,87
81102,51,18,87
82664,51,25,87
84563,51,44,87
96872,371,80,87
36241,11,80,92
19160,284,70,92
67876,51,36,92
68016,51,39,92
91496,51,45,92
61015,346,45,91
78796,11,48,91
78797,11,13,91
57815,11,17,91
14571,346,25,91
19159,284,70,91
36249,11,20,91
79581,284,68,91
25959,51,78,91
46021,284,60,91
60353,37,50,91
36247,11,10,90
57808,11,112,90
79566,284,26,90
46023,284,45,90
6596,51,17,90
34424,11,84,90
97656,51,85,91
98359,51,64,91
105369,51,68,91
105370,51,68,91
109328,51,35,91
109643,51,25,91
1575,51,55,91
2447,51,46,91
8943,51,36,91
15884,230,14,91
17802,371,38,91
20786,51,35,91
25919,51,28,91
36841,51,28,91
37212,51,95,91
37652,51,44,91
44600,230,30,91
44608,230,22,91
52620,371,22,88
56450,51,25,88
65656,51,23,88
68504,51,36,88
3044,51,35,88
49113,51,40,88
1748,381,20,87
16181,371,35,87
19219,371,18,87
93203,414,23,90
90273,51,60,90
91225,51,28,90
52903,51,30,90
52913,51,25,90
28923,51,25,90
31253,51,32,90
38350,414,20,90
64584,51,48,90
71837,51,36,90
74944,132,80,90
79541,371,57,90
85320,51,20,90
91902,51,40,90
68858,214,22,90
74620,346,25,90
74621,346,20,90
106343,253,15,85
100552,253,14,85
8071,51,18,85
9584,253,16,85
3253,214,10,85
98254,51,49,85
68685,51,85,85
32052,51,36,85
40295,51,34,85
49339,51,15,85
50297,253,30,85
109265,51,25,85
5604,395,18,85
9648,51,49,85
26617,51,35,85
29449,214,15,85
30556,51,45,89
39856,51,55,89
49138,346,35,89
1989,214,37,89
7539,51,39,89
13590,51,60,89
53756,346,19,89
53761,346,40,89
55712,214,14,89
65853,381,36,89
72324,322,15,89
74048,214,19,89
78629,284,13,89
92832,214,30,89
93407,51,20,89
100249,51,30,89
14608,51,34,92
51711,371,41,92
103723,214,215,92
95898,51,60,92
76220,51,125,92
42270,214,30,92
100505,51,35,87
4205,51,15,87
8076,51,28,87
13398,408,14,87
17172,284,56,87
25991,51,24,87
29108,300,7,87
34140,322,18,87
92286,284,20,87
10920,284,18,87
71790,51,40,87
85246,51,28,87
7970,381,15,86
75704,381,20,86
77906,381,22,86
88200,381,16,86
88201,381,18,86
58197,381,12,86
63803,253,11,86
66881,381,15,86
8419,51,16,86
13030,51,34,86
26275,51,40,86
92615,381,19,86
92961,381,18,86
53394,74,42,86
58196,381,15,86
70418,296,11,82
3941,11,18,82
78292,51,48,82
19446,383,350,100
19445,383,350,98
19441,383,100,97
18302,284,150,97
85750,51,68,96
85751,51,68,96
53853,383,85,95
7649,284,60,95
52779,51,200,95
71294,381,11,88
89892,51,160,88
46274,381,10,88
18867,51,19,88
102558,371,40,88
44277,381,11,88
99799,381,9,88
105582,51,18,88
69024,51,34,88
72139,51,17,88
58070,51,25,88
102419,71,14,88
12579,51,12,87
26158,51,16,85
5165,381,24,85
102321,381,19,85
105342,51,15,85
105552,51,45,85
105881,381,19,85
53388,74,30,85
61082,381,15,85
68462,253,20,85
69998,253,20,85
71589,51,12,85
77905,381,20,85
79212,381,13,85
79232,381,16,85
83639,253,14,85
13963,381,14,85
24277,37,20,89
48234,408,30,89
56550,408,20,89
60316,51,30,89
62062,253,18,89
64793,253,35,89
69975,408,42,89
74587,51,30,89
74122,51,24,89
79937,408,16,89
80879,51,27,89
84269,284,89,89
96919,284,15,89
100887,51,54,89
106517,408,38,89
108981,253,35,89
37289,51,32,88
39632,399,12,88
42828,51,20,88
65291,195,39,92
70978,371,35,92
78379,74,69,92
78976,265,30,92
85286,51,40,92
86035,51,23,92
86876,51,45,92
7870,195,50,92
19598,74,100,92
106043,74,60,92
102542,381,69,92
36705,230,42,92
36704,230,27,92
48543,74,70,92
7733,51,130,92
17704,51,88,92
24007,37,65,92
93051,408,45,87
